Pavard?     Vardas        ND1  ND2  ND3  ND4  ND5   Egzaminas
Vardas557   Pavarde557      0    4    6    1    9           9
Vardas558   Pavarde558      3    4    0    4    3           8
Vardas559   Pavarde559     10    4    4    6    8           9
Vardas560   Pavarde560      3    3    1    4    8           3
Vardas561   Pavarde561      9   10   10    0    9          10
Vardas562   Pavarde562      8    9    7    7   10           6
Vardas563   Pavarde563      4    7    8    7    4           2
Vardas564   Pavarde564      5    8    3    8    7           1
Vardas565   Pavarde565      7    4    2    5    1           0
Vardas566   Pavarde566      3   10    1   10    5           5
Vardas567   Pavarde567      7    7   10    1    3           2
Vardas568   Pavarde568      6    7    7    9    9           4
Vardas569   Pavarde569      3    3    0    0    0           5
Vardas570   Pavarde570      1    2    0    3    9           3
Vardas571   Pavarde571      9    3    4    0    8           7
Vardas572   Pavarde572      5    9    8    7    8           4
Vardas573   Pavarde573      0    6    1    5    3           3
Vardas574   Pavarde574      4    0    8    5   10           9
Vardas575   Pavarde575      5    3    0    6    6           3
Vardas576   Pavarde576      6    6    8    7    5          10
Vardas577   Pavarde577      7    8    0   10    0           7
Vardas578   Pavarde578      2    3    9    7    3           5
Vardas579   Pavarde579      1    5    0   10   10           1
Vardas580   Pavarde580     10    7    4    1    8           5
Vardas581   Pavarde581      7    0    7    0    4           5
Vardas582   Pavarde582      9    9    6    8    8           4
Vardas583   Pavarde583      3    4    4    4    6           1
Vardas584   Pavarde584      3    0    8    5    2           4
Vardas585   Pavarde585      4    0    7    9    7           9
Vardas586   Pavarde586      8    1    9   10    3           4
Vardas587   Pavarde587      6    5    2    0    7           6
Vardas588   Pavarde588      4    6    1    3    4          10
Vardas589   Pavarde589      7    8    1    8    5           9
Vardas590   Pavarde590     10    4    2    2    5           6
Vardas591   Pavarde591      7    8    5    7    0           8
Vardas592   Pavarde592      3    6    2    4   10           7
Vardas593   Pavarde593      9    6    0    3    5          10
Vardas594   Pavarde594      8    4   10    0    6           3
Vardas595   Pavarde595      0    0    5    9   10           4
Vardas596   Pavarde596      3    9    8    0    3           4
Vardas597   Pavarde597      3    6    4    2    2           8
Vardas598   Pavarde598      7    3    1    6    4           8
Vardas599   Pavarde599      2    3    9    1    2           0
Vardas600   Pavarde600      1    9    2    0    5           7
Vardas601   Pavarde601     10    5    8    7    4           3
Vardas602   Pavarde602      0    2    8    7    1           5
Vardas603   Pavarde603      0    1    3    1    1           7
Vardas604   Pavarde604      6    7    4    5    4           9
Vardas605   Pavarde605      4    2    1    9    7          10
Vardas606   Pavarde606      8    5    5    4    2           7
Vardas607   Pavarde607     10    0    1    7    6          10
Vardas608   Pavarde608      5    4    8    1    9           8
Vardas609   Pavarde609      0    2    8    9    1           3
Vardas610   Pavarde610     10    9    9    7    1           8
Vardas611   Pavarde611      2   10    2    1    4           7
Vardas612   Pavarde612      1    0    2    2    4           3
Vardas613   Pavarde613      2    7    4    1    0           1
Vardas614   Pavarde614      9    1    0    4   10           8
Vardas615   Pavarde615      2    0    9    3    2           6
Vardas616   Pavarde616     10    5    4    1   10           4
Vardas617   Pavarde617      1    5   10    7    9           2
Vardas618   Pavarde618      4    0    9    9    8           0
Vardas619   Pavarde619      8    4    4    4   10           2
Vardas620   Pavarde620      2    8   10   10    2           8
Vardas621   Pavarde621      5    7    4    4    4           5
Vardas622   Pavarde622      6    0    3    4    9           0
Vardas623   Pavarde623     10    6    8    4    7           3
Vardas624   Pavarde624      0    6    2    3    3           9
Vardas625   Pavarde625      0    9    7    6    1           3
Vardas626   Pavarde626      8   10    6    8    0           3
Vardas627   Pavarde627      5    3    0    6    3           6
Vardas628   Pavarde628      3    9   10    4    5           4
Vardas629   Pavarde629      9   10    6    0   10           7
Vardas630   Pavarde630      2    8    9    9    7           4
Vardas631   Pavarde631      4    8    6    1    2           4
Vardas632   Pavarde632      3    5    9   10   10           1
Vardas633   Pavarde633      2    5    4    4    4           5
Vardas634   Pavarde634      0    1    3    3    3           7
Vardas635   Pavarde635      7    4    8    0   10           9
Vardas636   Pavarde636     10    2   10    9    0           2
Vardas637   Pavarde637      2    4    4    3    9           4
Vardas638   Pavarde638      6    0    1    3    2          10
Vardas639   Pavarde639      7    8    3    9    7           6
Vardas640   Pavarde640      9    1    4    4    9           2
Vardas641   Pavarde641      4    0    3    7    6           3
Vardas642   Pavarde642      9    1    3    4    0           7
Vardas643   Pavarde643      0    2   10    0    2           7
Vardas644   Pavarde644      5    1    5    2    0           0
Vardas645   Pavarde645      4    1    3    8    4           2
Vardas646   Pavarde646      2   10    9    0    7           8
Vardas647   Pavarde647      0    5    8    5    6           7
Vardas648   Pavarde648      7    0    2    9    5           6
Vardas649   Pavarde649      4    6    4    1    1           5
Vardas650   Pavarde650      2    1    5    5    3           5
Vardas651   Pavarde651      8    3   10    7    8           7
Vardas652   Pavarde652      0    1    8    6    4           7
Vardas653   Pavarde653      6   10    0    9   10           3
Vardas654   Pavarde654     10    8    1    8    5           2
Vardas655   Pavarde655      2    2    2   10    9          10
Vardas656   Pavarde656      0    2    4    1    0           1
Vardas657   Pavarde657      4    0    7   10    7           3
Vardas658   Pavarde658      2    7    5    3    0           4
Vardas659   Pavarde659     10    5    7    4    6           8
Vardas660   Pavarde660      8    4    3    9    8           0
Vardas661   Pavarde661      5    4    0    5    4           3
Vardas662   Pavarde662      5    4    1    1    7           4
Vardas663   Pavarde663      0    6    1    3    9           8
Vardas664   Pavarde664      2    8   10    5    9           5
Vardas665   Pavarde665      2    7    4    8    0           9
Vardas666   Pavarde666      9   10    9    0    4           4
Vardas667   Pavarde667      8    9    4    3    5           3
Vardas668   Pavarde668      9    4   10    7    5           8
Vardas669   Pavarde669      0    3    2    7    4           7
Vardas670   Pavarde670      4    4    7    2    9           1
Vardas671   Pavarde671      7    3    3    5    6          10
Vardas672   Pavarde672      3    6    3    2    7           1
Vardas673   Pavarde673      8    3    6    7    1           0
Vardas674   Pavarde674      6    2    3   10    5           9
Vardas675   Pavarde675      0    4    6    0    0           4
Vardas676   Pavarde676      9    9    4    0    7           3
Vardas677   Pavarde677      8    2    8    2    5          10
Vardas678   Pavarde678      8    4    2    3    7           5
Vardas679   Pavarde679      2    7    0    5    7           9
Vardas680   Pavarde680      4    9    3    4    5           8
Vardas681   Pavarde681     10    1    4   10    7           6
Vardas682   Pavarde682      9    9   10    1   10          10
Vardas683   Pavarde683      0    8    8    0    8           1
Vardas684   Pavarde684      9    2    5    9    5           5
Vardas685   Pavarde685      9    1    8    4    6           6
Vardas686   Pavarde686      2    0    1    4   10           6
Vardas687   Pavarde687      9    7    3    8    3           5
Vardas688   Pavarde688      3    2    4    4    8           4
Vardas689   Pavarde689      1   10    7    8    5           8
Vardas690   Pavarde690      1    4    7    5    1           1
Vardas691   Pavarde691      1    1    8    5    7           1
Vardas692   Pavarde692      1    9   10    8    6           3
Vardas693   Pavarde693      3    5    0    0    6           0
Vardas694   Pavarde694      4    3    1    0    6           3
Vardas695   Pavarde695      9    2    9    7    6           2
Vardas696   Pavarde696      6    6   10    7    3           7
Vardas697   Pavarde697      8    0    4    7    9           4
Vardas698   Pavarde698      5    2    2    4    1           8
Vardas699   Pavarde699      5    9    8    0    2          10
Vardas700   Pavarde700      7    8    3    0    1           7
Vardas701   Pavarde701      8    0    6    6   10           0
Vardas702   Pavarde702      5    1    7   10    6           6
Vardas703   Pavarde703      1    5   10    1   10           2
Vardas704   Pavarde704      1    5    4    5    6           9
Vardas705   Pavarde705     10    1    5    8    1           6
Vardas706   Pavarde706      7    4   10    2    6           3
Vardas707   Pavarde707      6    3    0    3    2           1
Vardas708   Pavarde708      6    1    9    4    8           6
Vardas709   Pavarde709      4    4    0    5    1           9
Vardas710   Pavarde710      7    4    2   10    0           5
Vardas711   Pavarde711      1    3    0    6    9           3
Vardas712   Pavarde712      2    6    8    9    6           2
Vardas713   Pavarde713      3   10    3    4    0           2
Vardas714   Pavarde714      4    7    3    1    5          10
Vardas715   Pavarde715      6   10    5    1    0           9
Vardas716   Pavarde716      2    3    1    4    3           8
Vardas717   Pavarde717      4    0    8    2    1           9
Vardas718   Pavarde718      6    2    1    3    8          10
Vardas719   Pavarde719      4   10    1    9    9           1
Vardas720   Pavarde720      9    0   10    1    8           0
Vardas721   Pavarde721      1    7    5    1    4           0
Vardas722   Pavarde722      1    0    2    9    1           4
Vardas723   Pavarde723      4    2   10    4   10           3
Vardas724   Pavarde724      0   10    7    7    0           5
Vardas725   Pavarde725     10    0    3    7    0           3
Vardas726   Pavarde726      1    8    4    6    1           1
Vardas727   Pavarde727      7    5    1    3    2           1
Vardas728   Pavarde728      4    0    9    4    8           0
Vardas729   Pavarde729      6    0    6    6    5           5
Vardas730   Pavarde730      0    0    6    1    2           0
Vardas731   Pavarde731      1   10    0    7    8           0
Vardas732   Pavarde732      8    2    5   10    4           4
Vardas733   Pavarde733      6    5    9    1    2          10
Vardas734   Pavarde734      6    1    6    2    6          10
Vardas735   Pavarde735      5    3    4    3    0           5
Vardas736   Pavarde736      4    7    7   10   10           1
Vardas737   Pavarde737      1    9    0    3    2           2
Vardas738   Pavarde738     10    8    0    6    8           5
Vardas739   Pavarde739      4    8    7    1    9           8
Vardas740   Pavarde740      3   10    5    3    3           2
Vardas741   Pavarde741      2    3    1    0    9           4
Vardas742   Pavarde742     10    8    2    2    3           5
Vardas743   Pavarde743     10    7    6    2    7           9
Vardas744   Pavarde744      3    0    3    6    4           1
Vardas745   Pavarde745      5    0    0    9    0           3
Vardas746   Pavarde746     10    5    5    8    3           3
Vardas747   Pavarde747      9    8    1    3    4          10
Vardas748   Pavarde748      1    9    1    9    5           5
Vardas749   Pavarde749      7    6    7    8    1           4
Vardas750   Pavarde750      3    9    2    0    8           0
Vardas751   Pavarde751      5    0    8    8    9           7
Vardas752   Pavarde752     10    7    4    0    4           6
Vardas753   Pavarde753      0    0    6   10    9           9
Vardas754   Pavarde754      0    0    6    9    6           9
Vardas755   Pavarde755      3   10    1    5    9           3
Vardas756   Pavarde756      8    5    4    1    1           0
Vardas757   Pavarde757      5   10    7    4   10           7
Vardas758   Pavarde758      1    1   10    1    6           3
Vardas759   Pavarde759      2    3    0   10    5           0
Vardas760   Pavarde760      3    4   10    8    3          10
Vardas761   Pavarde761      8    3    6    4    0           7
Vardas762   Pavarde762      5    6    1    6    4           0
Vardas763   Pavarde763      1    2    3    3    5           3
Vardas764   Pavarde764      6    0    1    5    4          10
Vardas765   Pavarde765      6    7    3    5    0          10
Vardas766   Pavarde766     10    9    4    0    0           2
Vardas767   Pavarde767      7    0    6    2    7           1
Vardas768   Pavarde768      8    8    5    5    3           1
Vardas769   Pavarde769      0    5    6    3    8           7
Vardas770   Pavarde770      1    0    2    7    2          10
Vardas771   Pavarde771      0    9    6    0   10           8
Vardas772   Pavarde772      5    5   10    2    0           9
Vardas773   Pavarde773      3    3    7    6    6           6
Vardas774   Pavarde774      5    7    9    6    2           6
Vardas775   Pavarde775      1    8    9    1    5           7
Vardas776   Pavarde776      3    8    9    3    4          10
Vardas777   Pavarde777      7   10    4   10    9           7
Vardas778   Pavarde778      0    7   10    2    7           8
Vardas779   Pavarde779      4    5    3    8    9           7
Vardas780   Pavarde780      2   10    5    2    8           5
Vardas781   Pavarde781      5    0    2    0    7           8
Vardas782   Pavarde782     10    1   10    8    9           9
Vardas783   Pavarde783      6   10    2    8    6           0
Vardas784   Pavarde784      9    8    8    6    7           1
Vardas785   Pavarde785      6    6    6    0    9           4
Vardas786   Pavarde786      7    7    1    6    6           4
Vardas787   Pavarde787     10    8    2    5    5           4
Vardas788   Pavarde788      7    1    7    7   10           3
Vardas789   Pavarde789      9    4    3    9    0           9
Vardas790   Pavarde790      4    0    2    1    9           8
Vardas791   Pavarde791      8    1    7    8    2           0
Vardas792   Pavarde792      5   10   10    4    6           1
Vardas793   Pavarde793     10    2   10    5    0           4
Vardas794   Pavarde794      0   10    9    8    0           9
Vardas795   Pavarde795      7    1    3    7    2           4
Vardas796   Pavarde796      2    3    6   10    9           3
Vardas797   Pavarde797      4    2    0    3    5          10
Vardas798   Pavarde798      3   10    2    6    2           3
Vardas799   Pavarde799      0    5    2    7    6           6
Vardas800   Pavarde800      6    1    9    6    1           6
Vardas801   Pavarde801     10    2   10    4    0           9
Vardas802   Pavarde802      6    1    4    1    9           4
Vardas803   Pavarde803      1    9    0    7    7           0
Vardas804   Pavarde804      0    2   10    2    9           2
Vardas805   Pavarde805      2    0    9    8    5           5
Vardas806   Pavarde806      1    4    9    6    5           6
Vardas807   Pavarde807      0    6    9    8    3           3
Vardas808   Pavarde808      9    8    2   10    6           9
Vardas809   Pavarde809      4    7    0    8    6           4
Vardas810   Pavarde810      3   10    3    7    7           2
Vardas811   Pavarde811      7    7    6    6    5           6
Vardas812   Pavarde812      5    9    8    3    3           2
Vardas813   Pavarde813      3    6    0    9    3           9
Vardas814   Pavarde814      0    3    7    7    3           0
Vardas815   Pavarde815      4    0    3    8    1           7
Vardas816   Pavarde816      2    3    4    8    0           5
Vardas817   Pavarde817      8    8    5    0    4           5
Vardas818   Pavarde818      9    8    9    4    3           3
Vardas819   Pavarde819      2    7    8    3    5           8
Vardas820   Pavarde820      0    4    9    3    4           0
Vardas821   Pavarde821      8    4    1    7    9           3
Vardas822   Pavarde822     10    8   10    6    0           5
Vardas823   Pavarde823      4    0    0   10    4           3
Vardas824   Pavarde824      8    2    6    3    8           8
Vardas825   Pavarde825      0    7   10    2   10           4
Vardas826   Pavarde826      1   10    1    5    1           8
Vardas827   Pavarde827      6    0    4    4    4           6
Vardas828   Pavarde828      7    0    5    7    5           9
Vardas829   Pavarde829      0    6    2    7    3           4
Vardas830   Pavarde830      8    5    2    5    7          10
Vardas831   Pavarde831      5   10   10    7    7           2
Vardas832   Pavarde832     10    2    2    8    3           6
Vardas833   Pavarde833      6    6    6    6   10           5
Vardas834   Pavarde834      8    1    2    6    7           8
Vardas835   Pavarde835      9    1    2   10   10           5
Vardas836   Pavarde836      7    1    7    1   10           6
Vardas837   Pavarde837      0    7    1    3    7           9
Vardas838   Pavarde838      9    2    0    0    4           1
Vardas839   Pavarde839     10    8   10    2    8           8
Vardas840   Pavarde840      9    0    0    6    4           4
Vardas841   Pavarde841      5    7    0    5    9           8
Vardas842   Pavarde842      4    5   10    4    1           6
Vardas843   Pavarde843      0    4    4    4    1           0
Vardas844   Pavarde844      9    4    1    6    2           7
Vardas845   Pavarde845      2    3    1    2    4           9
Vardas846   Pavarde846      0    1    1    2    6           1
Vardas847   Pavarde847      9    3   10    4    7          10
Vardas848   Pavarde848      4    9    3    1    6           8
Vardas849   Pavarde849      9    8    0    3    9          10
Vardas850   Pavarde850      2    1    7    3    4           3
Vardas851   Pavarde851      3    1    9    7    6           7
Vardas852   Pavarde852      6    3    7    0    0           7
Vardas853   Pavarde853      5    0    5    4    2           8
Vardas854   Pavarde854      8    1    8    2    3           6
Vardas855   Pavarde855      8   10    3    2    9           8
Vardas856   Pavarde856      3    2    8   10    9           1
Vardas857   Pavarde857     10    0    4    1    5           2
Vardas858   Pavarde858      1    9    7    3    4           5
Vardas859   Pavarde859      7    4    3    3    0           3
Vardas860   Pavarde860      9    2    2    6    2           4
Vardas861   Pavarde861      5    3    7    2    2           7
Vardas862   Pavarde862      5    1    8    9    3           0
Vardas863   Pavarde863      4    4    6   10    4           4
Vardas864   Pavarde864      0    0    1    6    6           7
Vardas865   Pavarde865      8    5    7    5    9           1
Vardas866   Pavarde866      6    4   10    1    4          10
Vardas867   Pavarde867      2    7    5    4    9           2
Vardas868   Pavarde868      7    4    1   10    5          10
Vardas869   Pavarde869      1    2    8   10    2           9
Vardas870   Pavarde870      4    1    6    1    1           5
Vardas871   Pavarde871      2    0    7    4    9           6
Vardas872   Pavarde872      4    1    6    7    3           2
Vardas873   Pavarde873      2    5    3    6    5           5
Vardas874   Pavarde874      2    8    3    0    7           6
Vardas875   Pavarde875      4    3    8    4    9           8
Vardas876   Pavarde876      2    4    1    5    0           9
Vardas877   Pavarde877      4    0    3    8    8          10
Vardas878   Pavarde878      5    4    9    9    5          10
Vardas879   Pavarde879      7    4    6    0    3           4
Vardas880   Pavarde880      0    6   10    5    1           6
Vardas881   Pavarde881      1    5    0    0    8           9
Vardas882   Pavarde882      0    1    3    0    1           2
Vardas883   Pavarde883      7    9    3    4   10          10
Vardas884   Pavarde884      9    1    8    7    0           7
Vardas885   Pavarde885      3    8    7    2    8           7
Vardas886   Pavarde886      1    9   10    6    7           6
Vardas887   Pavarde887      6    3    9    8    1           0
Vardas888   Pavarde888      8    3    1    6    6          10
Vardas889   Pavarde889      7    4    6    3    2           5
Vardas890   Pavarde890      0    1    7    0    0           7
Vardas891   Pavarde891      5    8    6    1    7           9
Vardas892   Pavarde892     10    0    2    3    4           7
Vardas893   Pavarde893      2    3    1    9    8           2
Vardas894   Pavarde894      4    2    2    2   10          10
Vardas895   Pavarde895      6    3    5    3   10           6
Vardas896   Pavarde896      6    7    7    4    6           1
Vardas897   Pavarde897      0    5    3    3    2           2
Vardas898   Pavarde898      3    3    9    7    0           5
Vardas899   Pavarde899      5   10    0    0   10           6
Vardas900   Pavarde900      1    9    1    1    7           0
Vardas901   Pavarde901      9    3   10    4   10           6
Vardas902   Pavarde902      1    9    8    1    0           4
Vardas903   Pavarde903      5    2    1   10    6           7
Vardas904   Pavarde904      2   10    8    9   10           3
Vardas905   Pavarde905      4    1    3    9    5           5
Vardas906   Pavarde906      5    9    7    0    9           0
Vardas907   Pavarde907      7    7   10    6    7           5
Vardas908   Pavarde908      8    3    5    4    9           3
Vardas909   Pavarde909      6    9    0    4    7           2
Vardas910   Pavarde910      0    1    7   10   10           5
Vardas911   Pavarde911      5    8    1    9    8           2
Vardas912   Pavarde912      4   10   10    5    0           8
Vardas913   Pavarde913      0    3    8    4    1           4
Vardas914   Pavarde914      7    4    1    6    6           6
Vardas915   Pavarde915      5    1    3    1    3           8
Vardas916   Pavarde916      1   10    4    9    3           4
Vardas917   Pavarde917      2    8    5    5    2           2
Vardas918   Pavarde918      0   10    6    6    8           4
Vardas919   Pavarde919      3    1    5    9    2           8
Vardas920   Pavarde920      4    6    4    2    7           0
Vardas921   Pavarde921      0    3    5    5    2           1
Vardas922   Pavarde922      9    9   10    4    2           7
Vardas923   Pavarde923      5    7   10   10    4           7
Vardas924   Pavarde924      7   10   10    4    1           1
Vardas925   Pavarde925      1    7    3    7    9           7
Vardas926   Pavarde926      9    7    0   10    2           7
Vardas927   Pavarde927     10    5    0    4    8           1
Vardas928   Pavarde928      9    7    1    8    2           7
Vardas929   Pavarde929      5    7    1    9    9           1
Vardas930   Pavarde930      5    5    5    4    9           7
Vardas931   Pavarde931      7    0   10    6    9           8
Vardas932   Pavarde932      4    0    3    7    4           2
Vardas933   Pavarde933      3    7    8    3    7           5
Vardas934   Pavarde934      1    5    4    2    4           5
Vardas935   Pavarde935      6   10   10    9    3           5
Vardas936   Pavarde936      9    4    9    8    3           3
Vardas937   Pavarde937      0    4    3    8    0           5
Vardas938   Pavarde938      4    3    4    4    6           8
Vardas939   Pavarde939      3    6    9    7    4           2
Vardas940   Pavarde940      1    5    2    5    5           7
Vardas941   Pavarde941      7    0    1    8    6           5
Vardas942   Pavarde942      3    1    4    0   10           1
Vardas943   Pavarde943      8    9   10    2    4           6
Vardas944   Pavarde944      7    1    5    0    7           0
Vardas945   Pavarde945      5    7    9    5    1           0
Vardas946   Pavarde946      4    9    0    2    3           2
Vardas947   Pavarde947      7    2    0    0    0           8
Vardas948   Pavarde948      0    4    7    9    6           2
Vardas949   Pavarde949      1    7    3   10    7           0
Vardas950   Pavarde950      1    9    0   10    5           7
Vardas951   Pavarde951      8    1    1    1    8           5
Vardas952   Pavarde952      7    7    3    8    3           6
Vardas953   Pavarde953      8    6    8    1    9           5
Vardas954   Pavarde954      8    3    8    6   10           2
Vardas955   Pavarde955      9    1    3   10    1           6
Vardas956   Pavarde956      6   10    4    0    3           3
Vardas957   Pavarde957      2    2    7    7    7           7
Vardas958   Pavarde958      6   10    6    4   10           0
Vardas959   Pavarde959      3   10    6    2   10           5
Vardas960   Pavarde960      1    0    2    4    2           0
Vardas961   Pavarde961      8    8    9    1    8          10
Vardas962   Pavarde962      8    9    4    5    0           2
Vardas963   Pavarde963      0    3    4    9    7           8
Vardas964   Pavarde964      7    8    6    8    1           1
Vardas965   Pavarde965      3    0    3    0    8           0
Vardas966   Pavarde966      0    9    7    5   10           3
Vardas967   Pavarde967      5    4    1    0    3           1
Vardas968   Pavarde968      9    0    4    9    5          10
Vardas969   Pavarde969      3    8    9    4    0           8
Vardas970   Pavarde970      7    6    0    2    9           6
Vardas971   Pavarde971      0    6    7    7   10           2
Vardas972   Pavarde972      5   10    6    9    8          10
Vardas973   Pavarde973      7    7    8    9    7           8
Vardas974   Pavarde974     10    8    1    7    4           4
Vardas975   Pavarde975      5    0    7    8    9           3
Vardas976   Pavarde976      1    3    9    8    1           4
Vardas977   Pavarde977      7    2    3    0    6           7
Vardas978   Pavarde978      5    9    6   10    1          10
Vardas979   Pavarde979      2    6    5    2    4           8
Vardas980   Pavarde980      2    3    3    7    5           0
Vardas981   Pavarde981     10    3    4    0    3           9
Vardas982   Pavarde982      3    5   10    4    7           2
Vardas983   Pavarde983      5    8   10    7    4          10
Vardas984   Pavarde984      4    7    1    2    3           2
Vardas985   Pavarde985      7    6    3    0    9           2
Vardas986   Pavarde986      2    4    8    0    4           6
Vardas987   Pavarde987     10    5    3    2    1          10
Vardas988   Pavarde988      4    3    7    3    5           0
Vardas989   Pavarde989      6   10    3    3    9           6
Vardas990   Pavarde990      2    0    1   10    4           0
Vardas991   Pavarde991      4    9    6    4    9           9
Vardas992   Pavarde992      6    9    0    9    2           2
Vardas993   Pavarde993      5    1    0    1    1           6
Vardas994   Pavarde994      3    3   10    5    8           3
Vardas995   Pavarde995      6    2   10    7    8           8
Vardas996   Pavarde996     10    1   10    9    1           0
Vardas997   Pavarde997      0    9    4    1    6           2
Vardas998   Pavarde998      0    2    4    1    3           7
Vardas999   Pavarde999      8    2   10    0    8           3
Vardas1000  Pavarde1000     4    5    6    6    9           1
